t,x,y,z
58782.2,6791946.36155815,0.000572239442882129,330616.818058929
58782.3,6791909.04052475,0.000576153108324344,331381.526293677
58782.4,6791871.6332691,0.000579535097971879,332146.230308523
58782.5,6791834.13979102,0.000582341191439263,332910.930093733
58782.6,6791796.56008947,0.000584901210041111,333675.625639406
58782.7,6791758.89416611,0.000589501505537887,334440.316936098
58782.8,6791721.14202551,0.000594432285868124,335205.003974444
58782.9,6791683.30366648,0.000598241986479621,335969.686745232
58783,6791645.37908818,0.000601774178249128,336734.365238831
58783.1,6791607.36829154,0.000605843965200069,337499.03944489
58783.2,6791569.27127676,0.000609662718383516,338263.709353057
58783.3,6791531.08804463,0.000613737908782275,339028.374953914
58783.4,6791492.81859509,0.000617281943454297,339793.036237524
58783.5,6791454.46292797,0.000620248308286735,340557.693194141
58783.6,6791416.0210422,0.000622958221775475,341322.3458139
58783.7,6791377.49293966,0.000627684281052253,342086.99408737
58783.8,6791338.87862484,0.00063271122662743,342851.638005168
58783.9,6791300.17809639,0.000636638266982476,343616.277558046
58784,6791261.39135354,0.000640245810077004,344380.912736393
58784.1,6791222.51839731,0.000644360063222456,345145.54352983
58784.2,6791183.55922781,0.000648192147793175,345910.169928039
58784.3,6791144.51384593,0.000652252497405536,346674.791921576
58784.4,6791105.38225157,0.000655782764438167,347439.409500524
58784.5,6791066.1644446,0.000658729840861001,348204.022655126
58784.6,6791026.86042387,0.000661418243028334,348968.631375554
58784.7,6790987.47019151,0.000666107703089418,349733.235652386
58784.8,6790947.99375194,0.000671058733888721,350497.83547623
58784.9,6790908.43110368,0.00067493464354222,351262.430837804
58785,6790868.78224596,0.000678467546034371,352027.021727512
58785.1,6790829.04717994,0.000682468360952273,352791.608134942
58785.2,6790789.22590559,0.000686169684156182,353556.190049824
58785.3,6790749.31842395,0.00069007259953164,354320.767462677
58785.4,6790709.32473489,0.000693447662020599,355085.340363602
58785.5,6790669.24483827,0.00069623308079971,355849.908742833
58785.6,6790629.07873289,0.000698793291094743,356614.472590567
58785.7,6790588.82642112,0.000703361511474844,357379.031897393
58785.8,6790548.48790734,0.000708126679616451,358143.586653923
58785.9,6790508.06318993,0.000711840905490386,358908.13685085
58786,6790467.55226809,0.000715210594767369,359672.682478577
58786.1,6790426.95514312,0.00071900531202558,360437.223526666
58786.2,6790386.27181489,0.000722505103212791,361201.759984892
58786.3,6790345.50228456,0.00072618016893723,361966.29184374
58786.4,6790304.64655197,0.000729329391984544,362730.819093326
58786.5,6790263.70461699,0.000731883376634597,363495.341723873
58786.6,6790222.67647837,0.000734280802331852,364259.859725592
