t,x,y,z,r
58777.1186342593,3576611.41158052,-271.69188807399,-5778889.79447693,6796154.53914743
58777.119212963,3896312.7081963,-262.957761900478,-5568740.77483438,6796478.98595307
58777.1197916667,4203691.3788998,-253.283539543789,-5340929.39379263,6796804.2536671
58777.1203703704,4497772.06095687,-242.69142803373,-5096174.12628603,6797127.65046019
58777.1209490741,4777620.8395144,-231.206977823453,-4835247.38307698,6797446.44665714
58777.1215277778,5042348.262157,-218.859030950445,-4558973.18372965,6797757.90498183
58777.1221064815,5291112.23245771,-205.679656558173,-4268224.65413097,6798059.31107541
58777.1226851852,5523120.77093837,-191.704073757207,-3963921.35330892,6798348.00391535
58777.1232638889,5737634.63177842,-176.970561871181,-3647026.43530669,6798621.4057651
58777.1238425926,5933969.76365968,-161.520358183789,-3318543.65293736,6798877.05129068
58777.1244212963,6111499.60331855,-145.397543377131,-2979514.21134811,6799112.61549098
58777.125,6269657.1907043,-128.648914928049,-2631013.48044325,6799325.94010427
58777.1255787037,6407937.09511724,-111.323848806637,-2274147.57633146,6799515.05817193
58777.1261574074,6525897.14232338,-93.4741498984979,-1910049.82304942,6799678.21646385
58777.1267361111,6623159.93340983,-75.1538916484004,-1539877.10685068,6799813.89549569
58777.1273148148,6699414.14705115,-56.4192454965943,-1164806.13631203,6799920.82689809
58777.1278935185,6754415.61788994,-37.3283007488673,-786029.6223797,6799998.00792966
58777.1284722222,6787988.1848827,-17.9408755863931,-404752.393235161,6800044.71296025
58777.1290509259,6800024.30470703,1.68168001952777,-22187.4594888589,6800060.5017873
58777.1296296296,6790485.42665054,21.476688670511,360447.95430426,6800045.22468614
58777.1302083333,6759402.12678382,41.3803563200149,741936.395481486,6799999.02413391
58777.130787037,6706874.00063792,61.3279885699265,1121064.16996439,6799922.33318676
58777.1313657407,6633069.31503703,81.2542115589843,1496625.31330288,6799815.87052965
58777.1319444444,6538224.4211567,101.093196498582,1867425.52972649,6799680.63225796
58777.1325231481,6422642.93226327,120.778886901914,2232286.08317797,6799517.88048895
58777.1331018519,6286694.6709186,140.24522755175,2590047.62477821,6799329.12893944
58777.1336805556,6130814.39168591,159.426394260093,2939573.94178918,6799116.12564205
58777.1342592593,5955500.28652681,178.25702348896,3279755.61388912,6798880.83300728
58777.134837963,5761312.28112164,196.672440925034,3609513.56343569,6798625.40547053
58777.1354166667,5548870.13125982,214.608888130949,3927802.48734832,6798352.16499293
58777.1359953704,5318851.3292249,232.003746431683,4233614.15927196,6798063.57471091
58777.1365740741,5071988.830732,248.795757234767,4525980.59176633,6797762.21105262
58777.1371527778,4809068.61346106,264.925238026749,4803977.04937752,6797450.73465837
58777.1377314815,4530927.0785672,280.334293334303,5066724.9045677,6797131.86045757
58777.1383101852,4238448.30674399,294.967019985394,5313394.3295825,6796808.32726553
58777.1388888889,3932561.18047383,308.769706052859,5543206.81840287,6796482.86727014
58777.1394675926,3614236.38403263,321.691022908479,5755437.5339393,6796158.17578047
58777.1400462963,3284483.29263781,333.682209859181,5949417.47656378,6795836.88160651
58777.140625,2944346.76185509,344.697250877334,6124535.47092465,6795521.51843234
58777.1412037037,2594903.82802986,354.693042973735,6280239.96873914,6795214.49753278
58777.1417824074,2237260.33010266,363.629555793908,6416040.66590038,6794918.08216736
58777.1423611111,1872547.46272681,371.469982045701,6531509.93276543,6794634.36396456
58777.1429398148,1501918.27015073,378.180878388384,6626284.05690691,6794365.24158453
58777.1435185185,1126544.08987951,383.732296430783,6700064.29791711,6794112.4019195
58777.1440972222,747610.954709147,388.097903498543,6752617.75405563,6793877.30405903
58777.1446759259,366315.961352217,391.255092838833,6783778.04064035,6793661.16621194
58777.1452546296,-16136.3864391534,393.185082935396,6793445.78010954,6793464.95573871
58777.1458333333,-398537.852583511,393.873005608505,6781588.9036465,6793289.38240814
58777.146412037,-779680.153693947,393.307982574149,6748242.76417476,6793134.89495037
58777.1469907407,-1158358.64695199,391.483190135635,6693510.06042174,6793001.68093565
58777.1475694444,-1533376.01332644,388.395911679939,6617560.57163248,6792889.66996529
58777.1481481481,-1903545.92849362,384.047577651743,6520630.70241301,6792798.54011793
58777.1487268519,-2267696.71358398,378.443792681377,6403022.83711703,6792727.72755257
58777.1493055556,-2624674.95756349,371.594349549974,6265104.50317832,6792676.43912829
58777.1498842593,-2973349.10266841,363.513229687166,6107307.34285327,6792643.66786234
58777.150462963,-3312612.98386219,354.21858991457,5930125.89298921,6792628.21101113
58777.1510416667,-3641389.31279295,343.732735172995,5734116.17268727,6792628.69052539
58777.1516203704,-3958633.09621582,332.082077003312,5519894.07909373,6792643.57560057
58777.1521990741,-4263334.97833056,319.297077590885,5288133.59203685,6792671.20701687
58777.1527777778,-4554524.49599103,305.412179231451,5039564.78883065,6792709.82294111
58777.1533564815,-4831273.23529316,290.465719132431,4774971.67129012,6792757.5858449
58777.1539351852,-5092697.87766365,274.499829527604,4495189.80783977,6792812.61017971
58777.1545138889,-5337963.12327423,257.560323154407,4201103.79453973,6792872.99044145
58777.1550925926,-5566284.47941452,239.696564221092,3893644.5398875,6792936.82925295
58777.1556712963,-5776930.90138898,220.961325074662,3573786.37936382,6793002.26509407
58777.15625,-5969227.27357288,201.410628868836,3242544.02685826,6793067.49931478
58777.1568287037,-6142556.7184814,181.103578622843,2900969.37131325,6793130.82207733
58777.1574074074,-6296362.72208114,160.102173155361,2550148.12814134,6793190.63688842
58777.1579861111,-6430151.06410943,138.471110471646,2191196.35617487,6793245.48340158
58777.1585648148,-6543491.54286264,116.277579274483,1825256.85207617,6793294.05819345
58777.1591435185,-6636019.48476667,93.5910393591913,1453495.43524434,6793335.2332443
58777.1597222222,-6707437.03004245,70.4829917381226,1077097.13727915,6793368.07188359
58777.1603009259,-6757514.18691476,47.0267394192251,697262.310979941,6793391.8419946
58777.1608796296,-6786089.64806856,23.297139835028,315202.674649379,6793406.02630758
58777.1614583333,-6793071.36441483,-0.629650018597114,-67862.691880881,6793410.32964906
58777.162037037,-6778436.87266677,-24.6764346212867,-450711.382595922,6793404.68305392
58777.1626157407,-6742233.37472362,-48.7652459895861,-832121.714787998,6793389.24468758
58777.1631944444,-6684577.56838907,-72.8176135747143,-1210876.77532109,6793364.39756655
